# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   87       3.109436583553e-10       7.737338731456e-14      -1.982313804185e-12       3.103232281808e-16       1.458288341051e-11       1.862246512417e-12      -7.984226557053e-15 
   88       3.147618627121e-10       7.945919979751e-14      -2.064632929138e-12       3.175339394728e-16       1.416960407340e-11       1.818422984157e-12      -7.988859426445e-15 
   89       3.186100100456e-10       8.154891523754e-14      -2.147840999218e-12       3.248306728969e-16       1.376993538752e-11       1.776025987810e-12      -7.978341196147e-15 
   90       3.224883797027e-10       8.364077268463e-14      -2.231882859531e-12       3.322137734159e-16       1.338365776771e-11       1.735038208161e-12      -7.952013711981e-15 
   91       3.263974100553e-10       8.573299353167e-14      -2.316699969095e-12       3.396835920030e-16       1.301081959678e-11       1.695457541558e-12      -7.911245620383e-15 
   92       3.303373631295e-10       8.782375996658e-14      -2.402232071757e-12       3.472404978170e-16       1.265133550307e-11       1.657266519334e-12      -7.857579048827e-15 
   93       3.343083158959e-10       8.991121513741e-14      -2.488417202311e-12       3.548848786294e-16       1.230498104523e-11       1.620431702839e-12      -7.792734686934e-15 
   94       3.383101515593e-10       9.199346331753e-14      -2.575191692614e-12       3.626171412521e-16       1.197138739702e-11       1.584903078474e-12      -7.718616867586e-15 
   95       3.423425508486e-10       9.406857007073e-14      -2.662490177702e-12       3.704377119641e-16       1.165003603216e-11       1.550613452721e-12      -7.637318648032e-15 
   96       3.464049833068e-10       9.613456241637e-14      -2.750245601903e-12       3.783470369389e-16       1.134025340912e-11       1.517477847174e-12      -7.551126891003e-15 
   97       3.504966985809e-10       9.818942899454e-14      -2.838389224958e-12       3.863455826716e-16       1.104120565593e-11       1.485392893569e-12      -7.462527345818e-15 
   98       3.546167177115e-10       1.002311202312e-13      -2.926850628132e-12       3.944338364059e-16       1.075189325498e-11       1.454236228818e-12      -7.374209729494e-15 
   99       3.587640779033e-10       1.022575967145e-13      -3.015559004326e-12       4.026123096791e-16       1.047138010744e-11       1.423894975117e-12      -7.288544178324e-15 
  100       3.629386252220e-10       1.042669817853e-13      -3.104447223696e-12       4.108815486063e-16       1.019952923636e-11       1.394357090826e-12      -7.205915005286e-15 
  101       3.671403185177e-10       1.062574309675e-13      -3.193448357934e-12       4.192421258526e-16       9.936361900330e-12       1.365631894998e-12      -7.126159274957e-15 
  102       3.713689803947e-10       1.082270864242e-13      -3.282494469053e-12       4.276946381053e-16       9.681830067470e-12       1.337721887408e-12      -7.049073068142e-15 
  103       3.756242915743e-10       1.101740777081e-13      -3.371516631066e-12       4.362397065388e-16       9.435813941244e-12       1.310622496128e-12      -6.974410155349e-15 
  104       3.799057852567e-10       1.120965225104e-13      -3.460444951668e-12       4.448779772788e-16       9.198119486215e-12       1.284321825107e-12      -6.901880670276e-15 
  105       3.842128414840e-10       1.139925274107e-13      -3.549208593912e-12       4.536101218684e-16       8.968475953820e-12       1.258800401747e-12      -6.831149783283e-15 
  106       3.885446815019e-10       1.158601886262e-13      -3.637735797891e-12       4.624368377322e-16       8.746533408148e-12       1.234030924484e-12      -6.761836374877e-15 
  107       3.929003621226e-10       1.176975927615e-13      -3.725953902415e-12       4.713588486414e-16       8.531860251714e-12       1.209978010361e-12      -6.693511709188e-15 
  108       3.972787700869e-10       1.195028175581e-13      -3.813789366694e-12       4.803769051792e-16       8.323940751238e-12       1.186597942609e-12      -6.625698107451e-15 
  109       4.016786164269e-10       1.212739326436e-13      -3.901167792013e-12       4.894917852054e-16       8.122172563412e-12       1.163838418224e-12      -6.557867621484e-15 
  110       4.060986612099e-10       1.230090474277e-13      -3.988014666725e-12       4.987042763682e-16       7.926002519681e-12       1.141651190957e-12      -6.489564698036e-15 
  111       4.105384325564e-10       1.247064601477e-13      -4.074257663068e-12       5.080151200991e-16       7.735359039407e-12       1.120032380828e-12      -6.420794859919e-15 
  112       4.149975895189e-10       1.263645293892e-13      -4.159824676227e-12       5.174250612876e-16       7.550270683317e-12       1.098986874962e-12      -6.351683516544e-15 
  113       4.194756965904e-10       1.279816298434e-13      -4.244643155763e-12       5.269348658784e-16       7.370731738749e-12       1.078515769083e-12      -6.282356312948e-15 
  114       4.239722203315e-10       1.295561535206e-13      -4.328640134396e-12       5.365453211604e-16       7.196701104237e-12       1.058616241822e-12      -6.212939021858e-15 
  115       4.284865259965e-10       1.310865109626e-13      -4.411742256796e-12       5.462572360549e-16       7.028101174098e-12       1.039281429035e-12      -6.143557435750e-15 
  116       4.330178741604e-10       1.325711324559e-13      -4.493875808371e-12       5.560714414041e-16       6.864816723017e-12       1.020500298115e-12      -6.074337258915e-15 
  117       4.375654173452e-10       1.340084692445e-13      -4.574966744055e-12       5.659887902599e-16       6.706693790633e-12       1.002257522309e-12      -6.005403999521e-15 
  118       4.421281966464e-10       1.353969947427e-13      -4.654940717094e-12       5.760101581721e-16       6.553538566125e-12       9.845333550252e-13      -5.936882861674e-15 
  119       4.467051383599e-10       1.367352057478e-13      -4.733723107838e-12       5.861364434770e-16       6.405116272799e-12       9.673035041552e-13      -5.868898637486e-15 
  120       4.512950506084e-10       1.380216236535e-13      -4.811239052527e-12       5.963685675862e-16       6.261150052670e-12       9.505390063824e-13      -5.801575599133e-15 
  121       4.558966199681e-10       1.392547956620e-13      -4.887413472076e-12       6.067074752747e-16       6.121319851052e-12       9.342061014981e-13      -5.735037390921e-15 
  122       4.605084080950e-10       1.404332959979e-13      -4.962171100870e-12       6.171541349698e-16       5.985261301141e-12       9.182661067151e-13      -5.669406921347e-15 
  123       4.651290185845e-10       1.415557747953e-13      -5.035437330225e-12       6.277094978706e-16       5.852644354584e-12       9.026839742299e-13      -5.604781545501e-15 
  124       4.697576264409e-10       1.426211085395e-13      -5.107140787187e-12       6.383743693761e-16       5.723421777468e-12       8.874553448110e-13      -5.541155613885e-15 
  125       4.743935033597e-10       1.436282692748e-13      -5.177211107628e-12       6.491495233616e-16       5.597607232862e-12       8.725823797843e-13      -5.478488781004e-15 
  126       4.790358509304e-10       1.445762800494e-13      -5.245578182933e-12       6.600357419895e-16       5.475197608841e-12       8.580652993836e-13      -5.416729618839e-15 
  127       4.836837986021e-10       1.454642165024e-13      -5.312172195202e-12       6.710338156735e-16       5.356172530501e-12       8.439023253826e-13      -5.355815314495e-15 
  128       4.883364016496e-10       1.462912084526e-13      -5.376923652446e-12       6.821445430437e-16       5.240493871971e-12       8.300896237269e-13      -5.295671367856e-15 
  129       4.929926391391e-10       1.470564414864e-13      -5.439763423783e-12       6.933687309108e-16       5.128105268424e-12       8.166212471666e-13      -5.236211289232e-15 
  130       4.976514118943e-10       1.477591585450e-13      -5.500622774642e-12       7.047071942311e-16       5.018931628093e-12       8.034890778884e-13      -5.177336297016e-15 
  131       5.023115404625e-10       1.483986615136e-13      -5.559433401955e-12       7.161607560707e-16       4.912878644283e-12       7.906827701476e-13      -5.118935015332e-15 
  132       5.069717630802e-10       1.489743128082e-13      -5.616127469354e-12       7.277302475704e-16       4.809832307380e-12       7.781896929005e-13      -5.060883171690e-15 
  133       5.116307336394e-10       1.494855369643e-13      -5.670637642377e-12       7.394165079102e-16       4.709658416872e-12       7.659948724367e-13      -5.003043294635e-15 
  134       5.162870196531e-10       1.499318222248e-13      -5.722897123655e-12       7.512203842740e-16       4.612202093353e-12       7.540809350109e-13      -4.945264411400e-15 
  135       5.209391002218e-10       1.503127221275e-13      -5.772839688120e-12       7.631427318141e-16       4.517287290542e-12       7.424280494759e-13      -4.887381745557e-15 
  136       5.255853639990e-10       1.506278570936e-13      -5.820399718194e-12       7.751844136158e-16       4.424716307292e-12       7.310138699137e-13      -4.829216414671e-15 
  137       5.302242517632e-10       1.508769433247e-13      -5.865512908037e-12       7.873462745569e-16       4.334311738699e-12       7.198183633089e-13      -4.770613151979e-15 
  138       5.348547050907e-10       1.510598795082e-13      -5.908118384009e-12       7.996290599068e-16       4.246048261773e-12       7.088389778152e-13      -4.711558516890e-15 
  139       5.394757604707e-10       1.511766721363e-13      -5.948156871387e-12       8.120334881978e-16       4.159933625080e-12       6.980769426238e-13      -4.652074400495e-15 
  140       5.440864077591e-10       1.512274107476e-13      -5.985570084088e-12       8.245602763752e-16       4.075967216662e-12       6.875324976401e-13      -4.592181038655e-15 
  141       5.486855890624e-10       1.512122696878e-13      -6.020300764113e-12       8.372101395963e-16       3.994139845415e-12       6.772048671225e-13      -4.531896950995e-15 
  142       5.532721976214e-10       1.511315098711e-13      -6.052292720993e-12       8.499837910296e-16       3.914433522475e-12       6.670922333203e-13      -4.471238879911e-15 
  143       5.578450766952e-10       1.509854805419e-13      -6.081490871231e-12       8.628819416532e-16       3.836821242598e-12       6.571917101129e-13      -4.410221729558e-15 
  144       5.624030184445e-10       1.507746210355e-13      -6.107841277750e-12       8.759053000540e-16       3.761266765543e-12       6.474993166481e-13      -4.348858504854e-15 
  145       5.669447628160e-10       1.504994625399e-13      -6.131291189333e-12       8.890545722269e-16       3.687724397451e-12       6.380099509801e-13      -4.287160250473e-15 
  146       5.714689964258e-10       1.501606298571e-13      -6.151789080069e-12       9.023304613730e-16       3.616138772231e-12       6.287173637089e-13      -4.225135989847e-15 
  147       5.759743514433e-10       1.497588431638e-13      -6.169284688800e-12       9.157336676992e-16       3.546444632939e-12       6.196141316178e-13      -4.162792664160e-15 
  148       5.804594044747e-10       1.492949197736e-13      -6.183729058562e-12       9.292648882168e-16       3.478566613161e-12       6.106916313127e-13      -4.100135071348e-15 
  149       5.849226754474e-10       1.487697758976e-13      -6.195074576031e-12       9.429248165404e-16       3.412419018395e-12       6.019400128601e-13      -4.037165805094e-15 
  150       5.893626264931e-10       1.481844284062e-13      -6.203275010967e-12       9.567141426869e-16       3.347905607432e-12       5.933481734260e-13      -3.973885193828e-15 
  151       5.937776608322e-10       1.475399965901e-13      -6.208285555658e-12       9.706335528745e-16       3.284919373738e-12       5.849037309140e-13      -3.910291239725e-15 
  152       5.981661216569e-10       1.468377039215e-13      -6.210062864366e-12       9.846837293213e-16       3.223342326840e-12       5.765929976041e-13      -3.846379557699e-15 
  153       6.025264124624e-10       1.460788638303e-13      -6.208565311164e-12       9.988652943193e-16       3.163069887004e-12       5.684041272927e-13      -3.782153928625e-15 
  154       6.068573729697e-10       1.452648318362e-13      -6.203753707397e-12       1.013178637030e-15       3.104087080479e-12       5.603369413073e-13      -3.717659190977e-15 
  155       6.111579361744e-10       1.443970523052e-13      -6.195590726419e-12       1.027624070132e-15       3.046399041769e-12       5.523939696827e-13      -3.652951303966e-15 
  156       6.154270095459e-10       1.434770757010e-13      -6.184040731407e-12       1.042201883621e-15       2.990006944275e-12       5.445773496204e-13      -3.588087001167e-15 
  157       6.196634745302e-10       1.425065602652e-13      -6.169069815916e-12       1.056912344323e-15       2.934907907042e-12       5.368888152887e-13      -3.523123783573e-15 
  158       6.238661860521e-10       1.414872736969e-13      -6.150645844439e-12       1.071755695412e-15       2.881094901484e-12       5.293296876241e-13      -3.458119912651e-15 
  159       6.280339720173e-10       1.404210948331e-13      -6.128738492963e-12       1.086732155921e-15       2.828556658131e-12       5.219008641324e-13      -3.393134403399e-15 
  160       6.321656328148e-10       1.393100153277e-13      -6.103319289523e-12       1.101841920260e-15       2.777277573355e-12       5.146028086891e-13      -3.328227017397e-15 
  161       6.362599408195e-10       1.381561413324e-13      -6.074361654764e-12       1.117085157732e-15       2.727237616112e-12       5.074355413411e-13      -3.263458255869e-15 
  162       6.403156398939e-10       1.369616951760e-13      -6.041840942489e-12       1.132462012045e-15       2.678412234679e-12       5.003986281071e-13      -3.198889352730e-15 
  163       6.443314448911e-10       1.357290170442e-13      -6.005734480226e-12       1.147972600830e-15       2.630772263386e-12       4.934911707789e-13      -3.134582267648e-15 
  164       6.483060411565e-10       1.344605666602e-13      -5.966021609777e-12       1.163617015153e-15       2.584283829354e-12       4.867117967222e-13      -3.070599679095e-15 
  165       6.522380840305e-10       1.331589249636e-13      -5.922683727778e-12       1.179395319035e-15       2.538908259233e-12       4.800586486775e-13      -3.007004977405e-15 
