# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  138       5.346188627325e-10       1.504540138519e-13      -5.921588390294e-12       0.000000000000e+00       4.246048261773e-12       7.088389778152e-13      -4.711558516890e-15 
  139       5.392479445241e-10       1.505578936573e-13      -5.962039613813e-12       0.000000000000e+00       4.159933625080e-12       6.980769426238e-13      -4.652074400495e-15 
  140       5.438669453918e-10       1.505952488823e-13      -5.999868379011e-12       0.000000000000e+00       4.075967216662e-12       6.875324976401e-13      -4.592181038655e-15 
  141       5.484748069270e-10       1.505662389018e-13      -6.035017112968e-12       0.000000000000e+00       3.994139845415e-12       6.772048671225e-13      -4.531896950995e-15 
  142       5.530704215853e-10       1.504711094084e-13      -6.067429297460e-12       0.000000000000e+00       3.914433522475e-12       6.670922333203e-13      -4.471238879911e-15 
  143       5.576526315646e-10       1.503101941723e-13      -6.097049508229e-12       0.000000000000e+00       3.836821242598e-12       6.571917101129e-13      -4.410221729558e-15 
  144       5.622202276850e-10       1.500839168011e-13      -6.123823454255e-12       0.000000000000e+00       3.761266765543e-12       6.474993166481e-13      -4.348858504854e-15 
  145       5.667719482666e-10       1.497927925001e-13      -6.147698017027e-12       0.000000000000e+00       3.687724397451e-12       6.380099509801e-13      -4.287160250473e-15 
  146       5.713064780086e-10       1.494374298320e-13      -6.168621289809e-12       0.000000000000e+00       3.616138772231e-12       6.287173637089e-13      -4.225135989847e-15 
  147       5.758224468685e-10       1.490185324770e-13      -6.186542616915e-12       0.000000000000e+00       3.546444632939e-12       6.196141316178e-13      -4.162792664160e-15 
  148       5.803184289403e-10       1.485369009928e-13      -6.201412632976e-12       0.000000000000e+00       3.478566613161e-12       6.106916313127e-13      -4.100135071348e-15 
  149       5.847929413334e-10       1.479934345745e-13      -6.213183302216e-12       0.000000000000e+00       3.412419018395e-12       6.019400128601e-13      -4.037165805094e-15 
  150       5.892444430519e-10       1.473891328146e-13      -6.221807957712e-12       0.000000000000e+00       3.347905607432e-12       5.933481734260e-13      -3.973885193828e-15 
  151       5.936713338725e-10       1.467250974631e-13      -6.227241340677e-12       0.000000000000e+00       3.284919373738e-12       5.849037309140e-13      -3.910291239725e-15 
  152       5.980719532242e-10       1.460025341872e-13      -6.229439639719e-12       0.000000000000e+00       3.223342326840e-12       5.765929976041e-13      -3.846379557699e-15 
