# z w_eff(z) cs2_fld(z)
7.15952717 -2.07346599 1.00000000
7.41085904 -2.07186097 1.00000000
7.67101379 -2.07034408 1.00000000
7.94030116 -2.06893164 1.00000000
8.21904173 -2.06763354 1.00000000
8.50756736 -2.06645385 1.00000000
8.80622155 -2.06539168 1.00000000
9.11535985 -2.06444223 1.00000000
9.43535031 -2.06359790 1.00000000
9.76657389 -2.06284928 1.00000000
10.10942492 -2.06218598 1.00000000
10.46431157 -2.06159738 1.00000000
10.83165635 -2.06107314 1.00000000
11.21189660 -2.06060355 1.00000000
11.60548501 -2.06017979 1.00000000
12.01289015 -2.05979405 1.00000000
12.43459706 -2.05943954 1.00000000
12.87110780 -2.05911052 1.00000000
13.32294204 -2.05880218 1.00000000
13.79063771 -2.05851060 1.00000000
14.27475162 -2.05823261 1.00000000
14.77586013 -2.05796571 1.00000000
15.29455981 -2.05770794 1.00000000
15.83146821 -2.05745780 1.00000000
16.38722452 -2.05721419 1.00000000
16.96249041 -2.05697626 1.00000000
17.55795073 -2.05674344 1.00000000
18.17431441 -2.05651529 1.00000000
18.81231525 -2.05629154 1.00000000
19.47271281 -2.05607200 1.00000000
20.15629332 -2.05585657 1.00000000
20.86387060 -2.05564517 1.00000000
21.59628706 -2.05543780 1.00000000
22.35441466 -2.05523445 1.00000000
23.13915597 -2.05503515 1.00000000
23.95144526 -2.05483992 1.00000000
24.79224958 -2.05464881 1.00000000
25.66256995 -2.05446186 1.00000000
26.56344251 -2.05427913 1.00000000
27.49593979 -2.05410067 1.00000000
28.46117194 -2.05392655 1.00000000
29.46028812 -2.05375682 1.00000000
30.49447781 -2.05359154 1.00000000
31.56497224 -2.05343079 1.00000000
32.67304589 -2.05327464 1.00000000
33.82001794 -2.05312315 1.00000000
35.00725391 -2.05297640 1.00000000
36.23616725 -2.05283447 1.00000000
37.50822102 -2.05269744 1.00000000
38.82492964 -2.05256539 1.00000000
40.18786071 -2.05243842 1.00000000
41.59863683 -2.05231661 1.00000000
43.05893760 -2.05220005 1.00000000
44.57050154 -2.05208885 1.00000000
46.13512823 -2.05198311 1.00000000
47.75468041 -2.05188293 1.00000000
49.43108621 -2.05178842 1.00000000
51.16634147 -2.05169970 1.00000000
52.96251204 -2.05161688 1.00000000
54.82173635 -2.05154008 1.00000000
56.74622786 -2.05146944 1.00000000
58.73827775 -2.05140508 1.00000000
60.80025762 -2.05134714 1.00000000
62.93462234 -2.05129576 1.00000000
65.14391293 -2.05125109 1.00000000
67.43075965 -2.05121327 1.00000000
69.79788505 -2.05118247 1.00000000
72.24810728 -2.05115885 1.00000000
74.78434342 -2.05114256 1.00000000
77.40961295 -2.05113380 1.00000000
80.12704135 -2.05113273 1.00000000
82.93986380 -2.05113954 1.00000000
85.85142908 -2.05115442 1.00000000
88.86520349 -2.05117758 1.00000000
91.98477506 -2.05120921 1.00000000
95.21385773 -2.05124952 1.00000000
98.55629584 -2.05129874 1.00000000
102.01606869 -2.05135708 1.00000000
105.59729525 -2.05142479 1.00000000
109.30423909 -2.05150209 1.00000000
113.14131348 -2.05158924 1.00000000
117.11308657 -2.05168648 1.00000000
121.22428691 -2.05179409 1.00000000
125.47980902 -2.05191232 1.00000000
129.88471925 -2.05204146 1.00000000
134.44426181 -2.05218180 1.00000000
139.16386498 -2.05233362 1.00000000
